"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","X1_1","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"54",0.1303327645,0.017278157,0.1754124005,"MOOS","storm4b","08","17","SPC",-0.1775,-0.1806,-0.1763,"08","17","2021",121,"Q.norm",5.702099218,0.667687554,0.95,4.355578936,7.048619499,8.540071151,43,8.26e-11,16,0.130332764505117,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium",2021-08-17,101.149305555555
"55",0.0420820865,-0.010809048,0.101443075,"MOOS","storm4b","08","17","turb",0.0773,0.0444,0.1356,"08","17","2021",301,"Q.norm",-0.970911335,0.117383645,0.95,-1.207482526,-0.734340143,-8.271265866,44,1.65e-10,26,0.0420820864682341,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium",2021-08-17,101.149305555555
"56",0.759510571,0.755299286,0.773462383,"MOOS","storm5a","08","19","fDOM",-0.567,-0.57,-0.5649,"08","19","2021",213,"Q.norm",0.512144865,0.032670491,0.95,0.447176012,0.577113719,15.67606893,84,1.14e-26,7,0.759510571114765,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium",2021-08-19,103.732638888891
"57",0.0744177585,-0.005458515,0.10007278,"MOOS","storm5a","08","19","SPC",-0.0864,-0.0955,-0.0818,"08","19","2021",123,"Q.norm",-0.09739561,0.01072179,0.95,-0.118713401,-0.07607782,-9.083894891,85,3.65e-14,17,0.0744177583697052,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium",2021-08-19,103.732638888891
"58",-0.138542127,-0.151940639,-0.124156724,"MOOS","storm5a","08","19","turb",0.1001,-0.0102,0.1424,"08","19","2021",303,"Q.norm",-0.016473754,0.061042806,0.95,-0.137864069,0.104916561,-0.26987216,84,0.787920491,27,-0.138542126970099,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium",2021-08-19,103.732638888891
"59",-0.340461871,-0.759462953,-0.176828625,"MOOS","storm5b","08","21","fDOM",-0.2166,-0.2192,-0.2136,"08","21","2021",215,"Q.norm",-1.5412645,0.130300755,0.95,-1.804222069,-1.278306931,-11.82851552,42,5.93e-15,8,-0.340461871224708,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium",2021-08-21,105.024305555555
"60",0.173049133,0.145953757,0.203757225,"MOOS","storm5b","08","21","SPC",-0.0496,-0.0565,-0.0468,"08","21","2021",125,"Q.norm",3.903166042,0.326685901,0.95,3.243887203,4.56244488,11.947764,42,4.27e-15,18,0.173049132948026,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium",2021-08-21,105.024305555555
"61",0.0874138005,0.0276156275,0.121919884,"MOOS","storm5b","08","21","turb",0.0156,-0.0525,0.0473,"08","21","2021",305,"Q.norm",-0.619762475,0.252617871,0.95,-1.129565979,-0.109958971,-2.453359581,42,0.018384825,28,0.0874138006764176,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium",2021-08-21,105.024305555555
"62",0.3156388925,0.188436298,0.452940737,"MOOS","storm6","08","25","fDOM",-0.4648,-0.4671,-0.4628,"08","25","2021",217,"Q.norm",-0.111087069,0.004497268,0.95,-0.120162924,-0.102011214,-24.7010091,42,1.23e-26,9,0.315638892693922,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium",2021-08-25,109.899305555555
"63",0.5630208335,0.4925347225,0.6488715275,"MOOS","storm6","08","25","SPC",-0.5568,-0.5619,-0.5556,"08","25","2021",127,"Q.norm",0.083240287,0.007195582,0.95,0.068719015,0.097761559,11.56824989,42,1.22e-14,19,0.563020833333334,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium",2021-08-25,109.899305555555
