"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"141",-0.421893820068567,-0.425679342430944,-0.417453111143469,"CARI","storm8a","08","02","fDOM",0.3863,0,0,"08","02","2020",174,"Q.norm",0.173377836279714,0.0436282950548889,0.95,0.0852017628232567,0.261553909736171,3.97397688957559,40,0.000287569417890497,-0.421893820068567,14.224,13.3135267857143,35.687,128.525,128.525,11.7225448717949,27.5,0.517236363636364,214.041666666667,"burned","medium","2020-08-02",85.0416666666679
"142",0.87790765429797,0.856464432220774,0.886042093977252,"CARI","storm8a","08","02","SPC",NA,NA,NA,"08","02","2020",334,"Q.norm",0.028214267219375,0.00388399490835924,0.95,0.0203644206940152,0.0360641137447347,7.26423898204692,40,8.05946560032371e-09,0.87790765429797,14.224,13.3135267857143,35.687,128.525,128.525,11.7225448717949,27.5,0.517236363636364,214.041666666667,"burned","medium","2020-08-02",85.0416666666679
"143",-0.00361452089125343,-0.0101569884329174,-0.00310805693332225,"CARI","storm8a","08","02","turb",0.5691,NA,NA,"08","02","2020",490,"Q.norm",-0.873545898899007,0.314618507239453,0.95,-1.50992189676777,-0.237169901030246,-2.77652419930325,39,0.00839853903321055,-0.00361452089125343,14.224,13.3135267857143,35.687,128.525,128.525,11.7225448717949,27.5,0.517236363636364,214.041666666667,"burned","medium","2020-08-02",85.0416666666679
"144",0.445054945054945,0.381868131868132,0.450549450549451,"CARI","storm8b","08","03","NO3",NA,NA,NA,"08","03","2020",18,"Q.norm",0.0307107217411152,0.007835613001371,0.95,0.0149087021250822,0.0465127413571482,3.91937704628109,43,0.000313713835765461,0.445054945054945,44.069,13.0800850694444,44.577,142.749,142.749,11.7435722386588,119.5,0.368778242677824,215.208333333333,"burned","medium","2020-08-03",86.2083333333321
"145",-0.509505296122902,-0.611209129117022,-0.400909572088394,"CARI","storm8b","08","03","fDOM",NA,NA,NA,"08","03","2020",176,"Q.norm",0.0109680253533223,0.0117710410366,0.95,-0.021713623915828,0.0436496746224726,0.931780402363664,4,0.404196776948681,-0.509505296122902,44.069,13.0800850694444,44.577,142.749,142.749,11.7435722386588,119.5,0.368778242677824,215.208333333333,"burned","medium","2020-08-03",86.2083333333321
"146",0.85953414315765,0.779663764934774,0.90512833304233,"CARI","storm8b","08","03","SPC",NA,NA,NA,"08","03","2020",336,"Q.norm",0.00270915657423767,0.00239699663842283,0.95,-0.00212484784804496,0.0075431609965203,1.13022960934156,43,0.264644599745195,0.85953414315765,44.069,13.0800850694444,44.577,142.749,142.749,11.7435722386588,119.5,0.368778242677824,215.208333333333,"burned","medium","2020-08-03",86.2083333333321
"147",-0.0421198328920435,-0.056185334739872,-0.0283561313669739,"CARI","storm8b","08","03","turb",NA,NA,NA,"08","03","2020",492,"Q.norm",-0.194462614703556,0.129978526864187,0.95,-0.456959574983396,0.0680343455762842,-1.4961133919201,41,0.142282800333416,-0.0421198328920435,44.069,13.0800850694444,44.577,142.749,142.749,11.7435722386588,119.5,0.368778242677824,215.208333333333,"burned","medium","2020-08-03",86.2083333333321
"148",0.847826086956521,0.83695652173913,0.864130434782608,"CARI","storm9","09","07","NO3",NA,NA,NA,"09","07","2020",20,"Q.norm",0.0471421140548983,0.00535070718237141,0.95,0.0363279314478725,0.0579562966619242,8.81044550713111,40,6.52452465855287e-11,0.847826086956521,9.779,9.00537833333333,58.293,186.818,186.818,13.1158848619329,24.5,0.399142857142857,250.041666666667,"burned","medium","2020-09-07",121.041666666668
"149",-0.437714222533455,-0.447057089153438,-0.431992407769146,"CARI","storm9","09","07","fDOM",0.8241,0,0,"09","07","2020",178,"Q.norm",-0.388177892917737,0.113315306474479,0.95,-0.617379734424849,-0.158976051410626,-3.42564393986052,39,0.00145768298479684,-0.437714222533455,9.779,9.00537833333333,58.293,186.818,186.818,13.1158848619329,24.5,0.399142857142857,250.041666666667,"burned","medium","2020-09-07",121.041666666668
"150",0.46800779865297,0.420684154555133,0.54679191775966,"CARI","storm9","09","07","SPC",NA,NA,NA,"09","07","2020",338,"Q.norm",0.216807039886979,0.0132050412818381,0.95,0.190118655924278,0.243495423849681,16.4185052707992,40,2.25328437368807e-19,0.46800779865297,9.779,9.00537833333333,58.293,186.818,186.818,13.1158848619329,24.5,0.399142857142857,250.041666666667,"burned","medium","2020-09-07",121.041666666668
"151",-0.0802618058347855,-0.110016530402538,-0.0673502211499798,"CARI","storm9","09","07","turb",0.2136,NA,NA,"09","07","2020",494,"Q.norm",0.23889727384603,0.115632919673956,0.95,0.00500761716418013,0.47278693052788,2.06599707522423,39,0.0455169449586413,-0.0802618058347855,9.779,9.00537833333333,58.293,186.818,186.818,13.1158848619329,24.5,0.399142857142857,250.041666666667,"burned","medium","2020-09-07",121.041666666668
"152",0.0970044634365013,-0.00964339463031417,0.163540630335588,"POKE","storm3","06","15","NO3",-0.0343,-0.0359,-0.0325,"06","15","2020",92,"Q.norm",-0.0253380617597156,0.00924061354039049,0.95,-0.0439277783906389,-0.00674834512879218,-2.74203240390517,47,0.00861103158066896,0.0970044634365013,6.096,15.5779885057471,21.967,25.777,25.777,14.3710210813492,29.5,0.20664406779661,166.677083333333,"burned","medium","2020-06-15",37.6770833333321
"153",-0.550166034987045,-0.588182735124168,-0.477309946697726,"POKE","storm3","06","15","fDOM",0.0762,0.075,0.0772,"06","15","2020",250,"Q.norm",0.745957121170272,0.0429258399898729,0.95,0.659551886774737,0.832362355565807,17.3778106927263,46,7.67473855089374e-22,-0.550166034987045,6.096,15.5779885057471,21.967,25.777,25.777,14.3710210813492,29.5,0.20664406779661,166.677083333333,"burned","medium","2020-06-15",37.6770833333321
