"","datetimeAK","site.ID","fDOM","SPC","Turb","NO3","ABS_254","Q"
"10576",2015-09-01 10:00:00,"FRCH",118.950776050291,59.2,34.44,22.8795582495158,0.5515,2133.58729647233
"10577",2015-09-01 10:15:00,"FRCH",118.339481962386,59.2,29.69,22.8389624227424,0.550166666666667,NA
"10578",2015-09-01 10:30:00,"FRCH",119.088580986397,59.3,26.13,22.8858037613272,0.548533333333333,NA
"10579",2015-09-01 10:45:00,"FRCH",118.476915568396,59.3,31.42,22.8889265172328,0.548333333333333,NA
"10580",2015-09-01 11:00:00,"FRCH",118.385283454461,59.3,43.21,22.8639444699876,0.546866666666667,2123.79925787029
"10581",2015-09-01 11:15:00,"FRCH",118.508024698024,59.3,70.96,22.9045402967611,0.5466,NA
"10582",2015-09-01 11:30:00,"FRCH",118.483924089077,59.4,25.82,22.9513816353459,0.546566666666667,NA
"10583",2015-09-01 11:45:00,"FRCH",118.330246893154,59.4,29.99,22.9732409266854,0.5459,NA
"10584",2015-09-01 12:00:00,"FRCH",117.476468199048,59.4,31.9,22.9045402967611,0.544133333333333,2135.24272647228
"10585",2015-09-01 12:15:00,"FRCH",115.843118620929,59.4,33.28,22.8670672258932,0.542066666666667,NA
"10586",2015-09-01 12:30:00,"FRCH",115.891058807318,59.4,27.16,22.8670672258932,0.542833333333333,NA
"10587",2015-09-01 12:45:00,"FRCH",115.580829308811,59.5,30.62,23.0481870684211,0.541133333333333,NA
"10588",2015-09-01 13:00:00,"FRCH",116.44585993899,59.5,28.24,22.923276832195,0.540866666666667,2088.33627235071
"10589",2015-09-01 13:15:00,"FRCH",116.123526161938,59.5,30.14,22.9794864384968,0.5402,NA
"10590",2015-09-01 13:30:00,"FRCH",116.310327791864,59.5,30.63,22.9669954148742,0.54,NA
"10591",2015-09-01 13:45:00,"FRCH",116.329905272991,59.5,73.37,22.923276832195,0.538466666666667,NA
"10592",2015-09-01 14:00:00,"FRCH",116.205313573088,59.6,26.56,23.0513098243269,0.5387,2103.39260031931
"10593",2015-09-01 14:15:00,"FRCH",115.818866986092,59.6,32.54,23.023205021176,0.537566666666667,NA
