"inst_rainfall_mm","Datetime","Site"
0.2,2019-08-09 03:37:00,"FRCH"
0.2,2019-08-12 18:37:00,"FRCH"
0.4,2019-08-12 19:07:00,"FRCH"
0.2,2019-08-12 19:22:00,"FRCH"
0.2,2019-08-12 19:37:00,"FRCH"
0.2,2019-08-12 19:52:00,"FRCH"
0.2,2019-08-12 20:07:00,"FRCH"
0.2,2019-08-12 20:22:00,"FRCH"
0.4,2019-08-12 20:37:00,"FRCH"
0.6,2019-08-12 20:52:00,"FRCH"
1.2,2019-08-12 21:07:00,"FRCH"
1.2,2019-08-12 21:22:00,"FRCH"
1.2,2019-08-12 21:37:00,"FRCH"
0.6,2019-08-12 21:52:00,"FRCH"
0.6,2019-08-12 22:07:00,"FRCH"
0.6,2019-08-12 22:22:00,"FRCH"
0.6,2019-08-12 22:37:00,"FRCH"
0.4,2019-08-12 22:52:00,"FRCH"
0.6,2019-08-12 23:07:00,"FRCH"
0.4,2019-08-12 23:22:00,"FRCH"
0.2,2019-08-12 23:37:00,"FRCH"
0.4,2019-08-12 23:52:00,"FRCH"
0.4,2019-08-13 00:07:00,"FRCH"
0.4,2019-08-13 00:37:00,"FRCH"
0.2,2019-08-13 01:07:00,"FRCH"
0.4,2019-08-13 01:22:00,"FRCH"
0.2,2019-08-13 01:52:00,"FRCH"
0.2,2019-08-13 02:52:00,"FRCH"
0.2,2019-08-13 03:22:00,"FRCH"
0.2,2019-08-13 04:37:00,"FRCH"
0.2,2019-08-13 04:52:00,"FRCH"
0.2,2019-08-13 05:07:00,"FRCH"
0.2,2019-08-13 05:22:00,"FRCH"
0.2,2019-08-13 05:52:00,"FRCH"
0.2,2019-08-13 06:07:00,"FRCH"
0.6,2019-08-13 06:37:00,"FRCH"
0.6,2019-08-13 06:52:00,"FRCH"
0.8,2019-08-13 07:07:00,"FRCH"
0.4,2019-08-13 07:22:00,"FRCH"
0.4,2019-08-13 07:37:00,"FRCH"
0.6,2019-08-13 07:52:00,"FRCH"
0.8,2019-08-13 08:07:00,"FRCH"
0.6,2019-08-13 08:22:00,"FRCH"
0.8,2019-08-13 08:37:00,"FRCH"
0.4,2019-08-13 08:52:00,"FRCH"
1.2,2019-08-13 09:07:00,"FRCH"
0.4,2019-08-13 09:22:00,"FRCH"
0.4,2019-08-13 09:37:00,"FRCH"
0.2,2019-08-13 09:52:00,"FRCH"
0.4,2019-08-13 10:22:00,"FRCH"
0.6,2019-08-13 10:37:00,"FRCH"
0.2,2019-08-13 10:52:00,"FRCH"
2.4,2019-08-13 11:07:00,"FRCH"
0.2,2019-08-13 11:22:00,"FRCH"
0.2,2019-08-13 11:37:00,"FRCH"
0.2,2019-08-13 11:52:00,"FRCH"
0.2,2019-08-14 11:52:00,"FRCH"
0.2,2019-08-14 12:22:00,"FRCH"
0.2,2019-08-14 12:37:00,"FRCH"
0.2,2019-08-14 14:22:00,"FRCH"
0.2,2019-08-14 14:52:00,"FRCH"
0.2,2019-08-14 15:07:00,"FRCH"
0.4,2019-08-14 16:07:00,"FRCH"
0.2,2019-08-14 17:52:00,"FRCH"
0.2,2019-08-14 18:07:00,"FRCH"
0.2,2019-08-14 18:37:00,"FRCH"
0.2,2019-08-14 18:52:00,"FRCH"
0.2,2019-08-14 19:07:00,"FRCH"
0.2,2019-08-14 19:22:00,"FRCH"
0.4,2019-08-14 19:37:00,"FRCH"
0.2,2019-08-14 19:52:00,"FRCH"
0.4,2019-08-14 20:07:00,"FRCH"
0.2,2019-08-14 20:22:00,"FRCH"
0.4,2019-08-14 20:37:00,"FRCH"
0.2,2019-08-14 20:52:00,"FRCH"
0.2,2019-08-14 21:07:00,"FRCH"
0.4,2019-08-14 21:22:00,"FRCH"
0.2,2019-08-14 21:37:00,"FRCH"
0.2,2019-08-14 22:07:00,"FRCH"
0.2,2019-08-14 22:37:00,"FRCH"
0.2,2019-08-14 22:52:00,"FRCH"
0.2,2019-08-14 23:07:00,"FRCH"
0.2,2019-08-14 23:37:00,"FRCH"
0.2,2019-08-15 08:52:00,"FRCH"
0.2,2019-08-15 09:22:00,"FRCH"
0.2,2019-08-15 09:52:00,"FRCH"
0.2,2019-08-15 10:37:00,"FRCH"
0.2,2019-08-15 11:22:00,"FRCH"
0.2,2019-08-15 11:52:00,"FRCH"
0.2,2019-08-15 12:07:00,"FRCH"
0.2,2019-08-15 12:22:00,"FRCH"
0.2,2019-08-15 12:37:00,"FRCH"
0.2,2019-08-15 12:52:00,"FRCH"
0.4,2019-08-15 13:07:00,"FRCH"
0.2,2019-08-15 13:22:00,"FRCH"
0.2,2019-08-15 13:37:00,"FRCH"
0.2,2019-08-15 13:52:00,"FRCH"
1,2019-08-15 14:07:00,"FRCH"
1.2,2019-08-15 14:22:00,"FRCH"
0.2,2019-08-15 15:07:00,"FRCH"
0.6,2019-08-15 15:22:00,"FRCH"
0.2,2019-08-15 15:37:00,"FRCH"
0.6,2019-08-15 15:52:00,"FRCH"
0.4,2019-08-15 16:07:00,"FRCH"
0.2,2019-08-15 16:22:00,"FRCH"
0.2,2019-08-15 17:07:00,"FRCH"
0.8,2019-08-15 17:22:00,"FRCH"
0.4,2019-08-15 17:37:00,"FRCH"
0.2,2019-08-15 17:52:00,"FRCH"
0.2,2019-08-15 18:07:00,"FRCH"
0.2,2019-08-15 18:22:00,"FRCH"
0.4,2019-08-15 18:37:00,"FRCH"
0.4,2019-08-15 18:52:00,"FRCH"
0.4,2019-08-15 19:07:00,"FRCH"
0.6,2019-08-15 19:22:00,"FRCH"
0.6,2019-08-15 19:37:00,"FRCH"
0.6,2019-08-15 19:52:00,"FRCH"
0.6,2019-08-15 20:07:00,"FRCH"
0.6,2019-08-15 20:22:00,"FRCH"
0.8,2019-08-15 20:37:00,"FRCH"
0.6,2019-08-15 20:52:00,"FRCH"
0.6,2019-08-15 21:07:00,"FRCH"
