inst_rainfall_mm,DateTime,Site
0.8,2020-08-10T04:00:00Z,FRCH
0.4,2020-08-10T04:15:00Z,FRCH
0.4,2020-08-10T04:30:00Z,FRCH
0.6000000000000001,2020-08-10T04:45:00Z,FRCH
0.2,2020-08-10T05:00:00Z,FRCH
0.4,2020-08-10T05:15:00Z,FRCH
0.4,2020-08-10T05:30:00Z,FRCH
0.2,2020-08-10T05:45:00Z,FRCH
0.2,2020-08-10T06:00:00Z,FRCH
0.2,2020-08-10T06:15:00Z,FRCH
0.2,2020-08-10T07:00:00Z,FRCH
0.2,2020-08-10T07:45:00Z,FRCH
0.2,2020-08-10T09:00:00Z,FRCH
0.2,2020-08-10T10:00:00Z,FRCH
0.2,2020-08-10T10:30:00Z,FRCH
0.2,2020-08-10T11:00:00Z,FRCH
0.2,2020-08-11T00:45:00Z,FRCH
0.4,2020-08-11T01:00:00Z,FRCH
0.4,2020-08-11T01:15:00Z,FRCH
0.2,2020-08-11T01:30:00Z,FRCH
0.2,2020-08-11T01:45:00Z,FRCH
0.2,2020-08-11T02:00:00Z,FRCH
0.2,2020-08-11T02:15:00Z,FRCH
0.2,2020-08-11T04:30:00Z,FRCH
0.2,2020-08-11T05:15:00Z,FRCH
0.2,2020-08-11T06:00:00Z,FRCH
0.6000000000000001,2020-08-11T06:15:00Z,FRCH
0.4,2020-08-11T06:30:00Z,FRCH
0.2,2020-08-11T07:00:00Z,FRCH
0.2,2020-08-12T07:30:00Z,FRCH
0.4,2020-08-12T08:00:00Z,FRCH
0.2,2020-08-12T08:15:00Z,FRCH
0.2,2020-08-12T08:30:00Z,FRCH
0.2,2020-08-12T08:45:00Z,FRCH
0.8,2020-08-12T09:00:00Z,FRCH
0.6000000000000001,2020-08-12T09:15:00Z,FRCH
0.2,2020-08-12T09:30:00Z,FRCH
0.2,2020-08-12T10:00:00Z,FRCH
0.2,2020-08-12T10:15:00Z,FRCH
0.2,2020-08-12T17:15:00Z,FRCH
1.2000000000000002,2020-08-12T17:30:00Z,FRCH
0.2,2020-08-12T17:45:00Z,FRCH
0.2,2020-08-12T18:15:00Z,FRCH
