"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"55","VAUL",2019-07-30 03:00:00,107.559541346964,2019-07-30,228.027777777778,498.8,7.34444444444444,10.9540283328183,2019-07-30 03:00:00,107.559541346964,10.9540283328183,228.027777777778,498.8,7.34444444444444
"56","VAUL",2019-07-30 03:15:00,107.358870560869,2019-07-30,228.004,498.62,7.289,10.9228258807123,2019-07-30 03:15:00,107.358870560869,10.9228258807123,228.004,498.62,7.289
"57","VAUL",2019-07-30 03:30:00,107.158199774773,2019-07-30,227.877,498.48,7.142,10.9428425481011,2019-07-30 03:30:00,107.158199774773,10.9428425481011,227.877,498.48,7.142
"58","VAUL",2019-07-30 03:45:00,107.358870560869,2019-07-30,227.902,498.2,7.316,10.9763999022529,2019-07-30 03:45:00,107.358870560869,10.9763999022529,227.902,498.2,7.316
"59","VAUL",2019-07-30 04:00:00,107.559541346964,2019-07-30,227.865555555556,498.055555555556,7.42555555555556,10.9381327440096,2019-07-30 04:00:00,107.559541346964,10.9381327440096,227.865555555556,498.055555555556,7.42555555555556
"60","VAUL",2019-07-30 04:15:00,107.358870560869,2019-07-30,227.861111111111,497.733333333333,7.48666666666667,11.0841366708458,2019-07-30 04:15:00,107.358870560869,11.0841366708458,227.861111111111,497.733333333333,7.48666666666667
"61","VAUL",2019-07-30 04:30:00,107.358870560869,2019-07-30,227.851111111111,497.366666666667,7.27333333333333,11.0176106880535,2019-07-30 04:30:00,107.358870560869,11.0176106880535,227.851111111111,497.366666666667,7.27333333333333
"62","VAUL",2019-07-30 04:45:00,107.358870560869,2019-07-30,227.878888888889,496.877777777778,7.37444444444444,11.0464582381139,2019-07-30 04:45:00,107.358870560869,11.0464582381139,227.878888888889,496.877777777778,7.37444444444444
"63","VAUL",2019-07-30 05:00:00,107.158199774773,2019-07-30,227.988888888889,496.366666666667,7.41555555555556,11.1889298118814,2019-07-30 05:00:00,107.158199774773,11.1889298118814,227.988888888889,496.366666666667,7.41555555555556
"64","VAUL",2019-07-30 05:15:00,107.358870560869,2019-07-30,227.955555555556,495.877777777778,7.18333333333333,10.999360197199,2019-07-30 05:15:00,107.358870560869,10.999360197199,227.955555555556,495.877777777778,7.18333333333333
"65","VAUL",2019-07-30 05:30:00,107.559541346964,2019-07-30,228.003333333333,495.377777777778,7.34222222222222,11.2012930476216,2019-07-30 05:30:00,107.559541346964,11.2012930476216,228.003333333333,495.377777777778,7.34222222222222
"66","VAUL",2019-07-30 05:45:00,106.556187416488,2019-07-30,228.068888888889,494.888888888889,7.29111111111111,11.0953224555631,2019-07-30 05:45:00,106.556187416488,11.0953224555631,228.068888888889,494.888888888889,7.29111111111111
"67","VAUL",2019-07-30 06:00:00,107.158199774773,2019-07-30,228.092222222222,494.477777777778,7.42777777777778,11.068241082037,2019-07-30 06:00:00,107.158199774773,11.068241082037,228.092222222222,494.477777777778,7.42777777777778
"68","VAUL",2019-07-30 06:15:00,107.158199774773,2019-07-30,228.065555555556,494.222222222222,7.40555555555556,11.0888464749373,2019-07-30 06:15:00,107.158199774773,11.0888464749373,228.065555555556,494.222222222222,7.40555555555556
"69","VAUL",2019-07-30 06:30:00,106.957528988678,2019-07-30,228.048888888889,493.977777777778,7.43666666666667,11.0923788280059,2019-07-30 06:30:00,106.957528988678,11.0923788280059,228.048888888889,493.977777777778,7.43666666666667
"70","VAUL",2019-07-30 06:45:00,107.158199774773,2019-07-30,227.996666666667,493.666666666667,7.40333333333333,11.0370386299309,2019-07-30 06:45:00,107.158199774773,11.0370386299309,227.996666666667,493.666666666667,7.40333333333333
"71","VAUL",2019-07-30 07:00:00,106.756858202583,2019-07-30,227.903333333333,493.466666666667,7.40777777777778,11.2236646170562,2019-07-30 07:00:00,106.756858202583,11.2236646170562,227.903333333333,493.466666666667,7.40777777777778
"72","VAUL",2019-07-30 07:15:00,107.158199774773,2019-07-30,227.836666666667,493.133333333333,7.54777777777778,11.2189548129647,2019-07-30 07:15:00,107.158199774773,11.2189548129647,227.836666666667,493.133333333333,7.54777777777778
"73","VAUL",2019-07-30 07:30:00,107.559541346964,2019-07-30,227.731111111111,492.477777777778,7.42777777777778,11.169501870004,2019-07-30 07:30:00,107.559541346964,11.169501870004,227.731111111111,492.477777777778,7.42777777777778
