"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","DateTime","MeanDischarge","SpCond.uScm"
"46","STRT",2020-06-22 19:00:00,5006.15615920554,2020-06-22 08:00:00,124.490909090909,66.2727272727273,114.108181818182,21.4033477393383,2020-06-22 19:00:00,5006.15615920554,66.2727272727273
"47","STRT",2020-06-22 19:15:00,5034.48908861412,2020-06-22 08:00:00,125,66.2454545454545,66.9809090909091,21.3806728199846,2020-06-22 19:15:00,5034.48908861412,66.2454545454545
"48","STRT",2020-06-22 19:30:00,5036.98015675973,2020-06-22 08:00:00,123.65,66.1636363636364,61.4563636363636,21.4184643522409,2020-06-22 19:30:00,5036.98015675973,66.1636363636364
"49","STRT",2020-06-22 19:45:00,5077.15886841819,2020-06-22 08:00:00,122.537272727273,66.0363636363636,60.5027272727273,21.4411392715946,2020-06-22 19:45:00,5077.15886841819,66.0363636363636
"50","STRT",2020-06-22 20:00:00,5079.61394442007,2020-06-22 08:00:00,123.474545454545,66.0727272727273,62.5845454545455,21.551490545783,2020-06-22 20:00:00,5079.61394442007,66.0727272727273
"51","STRT",2020-06-22 20:15:00,5093.91480267205,2020-06-22 08:00:00,124.478181818182,66.0545454545454,59.8427272727273,21.527303965139,2020-06-22 20:15:00,5093.91480267205,66.0545454545454
"52","STRT",2020-06-22 20:30:00,5110.16915487888,2020-06-22 08:00:00,123.342727272727,65.9818181818182,62.8463636363636,21.5477113925574,2020-06-22 20:30:00,5110.16915487888,65.9818181818182
"53","STRT",2020-06-22 20:45:00,5137.69572300132,2020-06-22 08:00:00,124.597272727273,65.9818181818182,66.5118181818182,21.6180036425542,2020-06-22 20:45:00,5137.69572300132,65.9818181818182
"54","STRT",2020-06-22 21:00:00,5127.46266332339,2020-06-22 08:00:00,124.102727272727,65.9818181818182,60.8527272727273,21.7480065135159,2020-06-22 21:00:00,5127.46266332339,65.9818181818182
"55","STRT",2020-06-22 21:15:00,5140.68837319384,2020-06-22 08:00:00,124.573636363636,66,58.7863636363636,21.7366690538389,2020-06-22 21:15:00,5140.68837319384,66
"56","STRT",2020-06-22 21:30:00,5129.14737018291,2020-06-22 08:00:00,124.556363636364,65.9818181818182,67.2672727272727,21.7971355054491,2020-06-22 21:30:00,5129.14737018291,65.9818181818182
"57","STRT",2020-06-22 21:45:00,5136.54859033239,2020-06-22 08:00:00,124.928181818182,65.9818181818182,67.38,21.8424853441566,2020-06-22 21:45:00,5136.54859033239,65.9818181818182
"58","STRT",2020-06-22 22:00:00,5166.83501369588,2020-06-22 08:00:00,125.04,65.9727272727273,53.86,21.9414991586682,2020-06-22 22:00:00,5166.83501369588,65.9727272727273
"59","STRT",2020-06-22 22:15:00,5179.21837013651,2020-06-22 08:00:00,123.420909090909,66.0545454545454,61.1109090909091,21.9067309489923,2020-06-22 22:15:00,5179.21837013651,66.0545454545454
