"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 56% discharge...178","4",-0.392998678996037,56,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 58% discharge...179","4",-0.340598855129898,58,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 60% discharge...180","4",-0.300088066930868,60,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 62% discharge...181","4",-0.386833993835314,62,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 64% discharge...182","4",-0.442536327608983,64,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 66% discharge...183","4",-0.442536327608983,66,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 68% discharge...184","4",-0.15808014090709,68,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 70% discharge...185","4",-0.268383971818583,70,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 72% discharge...186","4",-0.0779392338177012,72,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 74% discharge...187","4",-0.134962571554382,74,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 76% discharge...188","4",-0.0248789079700569,76,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 78% discharge...189","4",-0.0334654337296341,78,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 80% discharge...190","4",-0.0907089387934822,80,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 82% discharge...191","4",-0.0504183179216195,82,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 84% discharge...192","4",0.224790841039191,84,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 86% discharge...193","4",0.177895200352268,86,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 88% discharge...194","4",0.269925143108764,88,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 90% discharge...195","4",0.111184500220168,90,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 92% discharge...196","4",0.259357111404667,92,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 94% discharge...197","4",0.259357111404667,94,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
"Interpolated HI for 96% discharge...198","4",0.362835755173933,96,"FRCH_storm1_06_21_turb","FRCH","storm1","06","21","turb"
