...1,storm.num,storm_start,storm_end,duration_days,total_storm_ppt,intensity,prev7,prev30,site.ID
7,storm5,2020-08-09,2020-08-12,4,15.6,3.9,31.2,122.4,STRT
8,storm6,2020-08-12,2020-08-13,2,9.8,4.9,14.8,126,STRT
9,storm7a,2020-08-20,2020-08-21,2,18.8,9.4,5.8,101.8,STRT
10,storm8,2020-08-28,2020-08-30,3,8.8,2.93333333333333,39.4,93.2,STRT
11,storm9a,2020-09-03,2020-09-06,4,12.8,3.2,13.4,78.2,STRT
12,storm9b,2020-09-07,2020-09-08,2,7.8,3.9,17,88.2,STRT
13,storm9c,2020-09-09,2020-09-14,6,20,3.33333333333333,24.2,94.2,STRT
1,storm1a,2021-08-15,2021-08-20,6,50.6,8.43333333333334,25.2,75.2,STRT
2,storm2a,2021-08-20,2021-08-23,4,12.8,3.2,43.8,117.6,STRT
3,storm3,2021-08-25,2021-08-27,3,18.6,6.2,18.4,111.8,STRT
1,storm1,2022-08-19,2022-08-20,2,5.969,2.9845,8.129,57.024,STRT
2,storm2,2022-09-04,2022-09-06,3,8.128,2.70933333333333,7.874,58.294,STRT
3,storm3,2022-09-22,2022-09-23,2,1.651,0.8255,8.128,54.229,STRT
1,storm1,2019-07-13,2019-07-15,3,14,4.66666666666667,4.2,19.6,VAUL
2,storm2,2019-07-26,2019-07-28,3,17.6,5.86666666666667,0,27.2,VAUL
3,storm3,2019-07-29,2019-07-31,3,10.8,3.6,17.6,44.8,VAUL
4,storm4a,2019-08-02,2019-08-05,4,35.2,8.8,32,55,VAUL
5,storm4c,2019-08-05,2019-08-08,4,13.8,3.45,49.6,90.2,VAUL
6,storm5,2019-08-13,2019-08-16,4,38.8,9.7,18.4,104.4,VAUL
7,storm6,2019-08-16,2019-08-18,3,22.2,7.4,22.6,108.4,VAUL
8,storm7,2019-09-19,2019-09-20,2,6.8,3.4,2.4,15.4,VAUL
9,storm8a,2019-09-29,2019-10-04,6,32.2,5.36666666666667,0,18.2,VAUL
10,storm8c,2019-10-04,2019-10-06,3,13.8,4.6,26.4,44.6,VAUL
