,column_label,HI,Q_interval,storm.ID,site.ID,storm.num,month,day,response,
Interpolated HI for 38% discharge...169,4,-0.243255493,38,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 40% discharge...170,4,-0.234002029,40,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 42% discharge...171,4,-0.209926836,42,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 44% discharge...172,4,-0.169734968,44,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 46% discharge...173,4,-0.107566798,46,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 48% discharge...174,4,-0.02542949,48,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 50% discharge...175,4,0.071227392,50,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 52% discharge...176,4,0.199157206,52,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 54% discharge...177,4,0.305180861,54,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 56% discharge...178,4,0.424483101,56,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 58% discharge...179,4,0.508039453,58,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 60% discharge...180,4,0.579844175,60,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 62% discharge...181,4,0.645832434,62,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 64% discharge...182,4,0.673118013,64,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 66% discharge...183,4,0.722385289,66,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 68% discharge...184,4,0.758071826,68,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 70% discharge...185,4,0.745068416,70,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 72% discharge...186,4,0.722579531,72,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 74% discharge...187,4,0.726593862,74,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 76% discharge...188,4,0.708394484,76,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 78% discharge...189,4,0.683315708,78,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 80% discharge...190,4,0.656666811,80,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 82% discharge...191,4,0.632731903,82,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 84% discharge...192,4,0.587937584,84,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 86% discharge...193,4,0.554873311,86,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 88% discharge...194,4,0.508632969,88,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 90% discharge...195,4,0.454806406,90,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 92% discharge...196,4,0.377023352,92,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 94% discharge...197,4,0.267805499,94,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 96% discharge...198,4,0.198671602,96,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 98% discharge...199,4,0.115341866,98,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 100% discharge...200,4,-0.014212026,100,MOOS_storm2_07_27_fDOM,MOOS,storm2,7,27,fDOM,
Interpolated HI for 2% discharge...201,5,-0.166246851,2,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 4% discharge...202,5,0.174853065,4,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 6% discharge...203,5,0.197103275,6,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 8% discharge...204,5,0.205289673,8,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 10% discharge...205,5,0.198992443,10,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 12% discharge...206,5,0.198992443,12,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 14% discharge...207,5,0.200041982,14,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 16% discharge...208,5,0.195843829,16,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 18% discharge...209,5,0.19531906,18,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 20% discharge...210,5,0.192695214,20,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 22% discharge...211,5,0.192695214,22,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 24% discharge...212,5,0.190176322,24,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 26% discharge...213,5,0.191645676,26,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 28% discharge...214,5,0.299748111,28,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 30% discharge...215,5,-0.076301427,30,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 32% discharge...216,5,0.00440806,32,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 34% discharge...217,5,0.088685978,34,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 36% discharge...218,5,0.164987406,36,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 38% discharge...219,5,0.257661629,38,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
Interpolated HI for 40% discharge...220,5,0.311502939,40,MOOS_storm2_07_27_SPC,MOOS,storm2,7,27,SPC,
