"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime"
"3320","FRCH",2321.2391882369,2020-07-08 13:45:00,116.251393866882,54.8363636363636,75.1381818181818,NA,NA,2321.2391882369,2020-07-08 13:45:00
"3321","FRCH",2273.89984380067,2020-07-08 14:00:00,116.553796974269,54.8727272727273,77.7645454545455,NA,NA,2273.89984380067,2020-07-08 14:00:00
"3322","FRCH",2158.93360380609,2020-07-08 14:15:00,116.618269023272,54.8909090909091,71.3954545454545,NA,NA,2158.93360380609,2020-07-08 14:15:00
"3323","FRCH",2165.30877240821,2020-07-08 14:30:00,116.535634240171,54.8454545454545,85.8545454545455,NA,NA,2165.30877240821,2020-07-08 14:30:00
"3324","FRCH",2157.54911565324,2020-07-08 14:45:00,116.987646627486,54.8727272727273,76.2836363636364,NA,NA,2157.54911565324,2020-07-08 14:45:00
"3325","FRCH",2213.60458288669,2020-07-08 15:00:00,117.366123953981,54.8454545454545,77.2081818181818,NA,NA,2213.60458288669,2020-07-08 15:00:00
"3326","FRCH",2173.64031488199,2020-07-08 15:15:00,117.509953498433,54.8545454545455,67.7427272727273,NA,NA,2173.64031488199,2020-07-08 15:15:00
"3327","FRCH",2187.00870594953,2020-07-08 15:30:00,116.784866804187,54.8363636363636,79.3372727272727,NA,NA,2187.00870594953,2020-07-08 15:30:00
"3328","FRCH",2160.04155897366,2020-07-08 15:45:00,116.824460478467,54.7909090909091,79.9318181818182,NA,NA,2160.04155897366,2020-07-08 15:45:00
"3329","FRCH",2133.26502019069,2020-07-08 16:00:00,116.712950241799,54.7363636363636,75.7054545454545,NA,NA,2133.26502019069,2020-07-08 16:00:00
"3330","FRCH",1940.46963418672,2020-07-08 16:15:00,117.095173507542,54.7181818181818,66.3972727272727,NA,NA,1940.46963418672,2020-07-08 16:15:00
"3331","FRCH",2101.2211563708,2020-07-08 16:30:00,117.212962741999,54.6909090909091,76.3990909090909,NA,NA,2101.2211563708,2020-07-08 16:30:00
"3332","FRCH",2092.77737386999,2020-07-08 16:45:00,117.277512530593,54.6818181818182,70.6181818181818,NA,NA,2092.77737386999,2020-07-08 16:45:00
"3333","FRCH",1939.1674950937,2020-07-08 17:00:00,117.492907058265,54.6363636363636,68.1190909090909,NA,NA,1939.1674950937,2020-07-08 17:00:00
"3334","FRCH",1884.93497914679,2020-07-08 17:15:00,117.464671469835,54.6090909090909,76.6472727272727,NA,NA,1884.93497914679,2020-07-08 17:15:00
"3335","FRCH",1986.09955356799,2020-07-08 17:30:00,117.236756758475,54.5818181818182,73.4054545454545,NA,NA,1986.09955356799,2020-07-08 17:30:00
"3336","FRCH",1970.55861401802,2020-07-08 17:45:00,117.055526834484,54.5909090909091,75.3936363636364,NA,NA,1970.55861401802,2020-07-08 17:45:00
