"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","MeanDischarge","DateTime","SpCond.uScm"
"75","MOOS",2020-07-21 14:15:00,1136.97772986325,2020-07-21 08:00:00,NA,NA,NA,18.2125,1136.97772986325,2020-07-21 14:15:00,NA
"76","MOOS",2020-07-21 14:30:00,1139.89857670385,2020-07-21 08:00:00,NA,NA,NA,NA,1139.89857670385,2020-07-21 14:30:00,NA
"77","MOOS",2020-07-21 14:45:00,1143.79581712143,2020-07-21 08:00:00,NA,NA,NA,NA,1143.79581712143,2020-07-21 14:45:00,NA
"78","MOOS",2020-07-21 15:00:00,1145.7444373302,2020-07-21 08:00:00,NA,NA,NA,NA,1145.7444373302,2020-07-21 15:00:00,NA
"79","MOOS",2020-07-21 15:15:00,1151.59029795663,2020-07-21 08:00:00,NA,NA,NA,NA,1151.59029795663,2020-07-21 15:15:00,NA
"80","MOOS",2020-07-21 15:30:00,1152.56669153363,2020-07-21 08:00:00,NA,NA,NA,20.4844411754024,1152.56669153363,2020-07-21 15:30:00,NA
"81","MOOS",2020-07-21 15:45:00,1152.56669153363,2020-07-21 08:00:00,112.952727272727,NA,24.09,20.4904336081773,1152.56669153363,2020-07-21 15:45:00,NA
"82","MOOS",2020-07-21 16:00:00,1153.54725205578,2020-07-21 08:00:00,112.842727272727,NA,20.4590909090909,20.5549884521616,1153.54725205578,2020-07-21 16:00:00,NA
"83","MOOS",2020-07-21 16:15:00,1158.41671910518,2020-07-21 08:00:00,113.395454545455,NA,18.7245454545455,20.5423680255599,1158.41671910518,2020-07-21 16:15:00,NA
"84","MOOS",2020-07-21 16:30:00,1165.23897330859,2020-07-21 08:00:00,113.244545454545,NA,18.7318181818182,20.5443655031516,1165.23897330859,2020-07-21 16:30:00,NA
"85","MOOS",2020-07-21 16:45:00,1169.14038067136,2020-07-21 08:00:00,113.118181818182,NA,19.5181818181818,20.569333973047,1169.14038067136,2020-07-21 16:45:00,NA
"86","MOOS",2020-07-21 17:00:00,1173.04178803411,2020-07-21 08:00:00,112.854545454545,NA,21.5472727272727,20.6232658680213,1173.04178803411,2020-07-21 17:00:00,NA
"87","MOOS",2020-07-21 17:15:00,1175.96263487474,2020-07-21 08:00:00,112.927272727273,NA,19.4654545454545,20.6322545171837,1175.96263487474,2020-07-21 17:15:00,NA
"88","MOOS",2020-07-21 17:30:00,1181.80849550111,2020-07-21 08:00:00,112.957272727273,NA,22.0618181818182,20.6602192034667,1181.80849550111,2020-07-21 17:30:00,NA
"89","MOOS",2020-07-21 17:45:00,1182.78905602329,2020-07-21 08:00:00,112.806363636364,NA,21.3536363636364,20.6382469499586,1182.78905602329,2020-07-21 17:45:00,NA
"90","MOOS",2020-07-21 18:00:00,1186.68212949569,2020-07-21 08:00:00,112.275454545455,NA,24.0536363636364,20.6722040690165,1186.68212949569,2020-07-21 18:00:00,NA
"91","MOOS",2020-07-21 18:15:00,1191.55993043547,2020-07-21 08:00:00,112.341818181818,NA,20.1645454545455,20.691180106137,1191.55993043547,2020-07-21 18:15:00,NA
"92","MOOS",2020-07-21 18:30:00,1198.38218463882,2020-07-21 08:00:00,112.278181818182,NA,21.7281818181818,20.6372482111628,1198.38218463882,2020-07-21 18:30:00,NA
"93","MOOS",2020-07-21 18:45:00,1202.27525811124,2020-07-21 08:00:00,111.915454545455,NA,23.2536363636364,20.6352507335711,1202.27525811124,2020-07-21 18:45:00,NA
"94","MOOS",2020-07-21 19:00:00,1207.14889210585,2020-07-21 08:00:00,111.936363636364,NA,24.1118181818182,20.5813188385969,1207.14889210585,2020-07-21 19:00:00,NA
"95","MOOS",2020-07-21 19:15:00,1209.09334536945,2020-07-21 08:00:00,111.864545454545,NA,22.6227272727273,20.6282595620004,1209.09334536945,2020-07-21 19:15:00,NA
"96","MOOS",2020-07-21 19:30:00,1214.93920599585,2020-07-21 08:00:00,111.5,NA,23.4236363636364,20.6042898309008,1214.93920599585,2020-07-21 19:30:00,NA
"97","MOOS",2020-07-21 19:45:00,1218.84061335862,2020-07-21 08:00:00,111.672727272727,NA,24.6118181818182,20.5953011817384,1218.84061335862,2020-07-21 19:45:00,NA
